id,name,rank,media,episodes,season,members,score
22507,Initial D Final Stage,256,TV,4,May2014-Jun2014,72125,8.25
16664,Kaguya-hime no Monogatari,257,Movie,1,Nov2013-Nov2013,124381,8.25
18195,Little Busters!: Refrain,258,TV,13,Oct2013-Dec2013,123854,8.25
37515,Made in Abyss Movie 2: Hourou Suru Tasogare,259,Movie,1,Jan2019-Jan2019,45192,8.25
3226,Major S4,260,TV,26,Jan2008-Jun2008,48968,8.25
585,Mimi wo Sumaseba,261,Movie,1,Jul1995-Jul1995,193295,8.25
33051,Mobile Suit Gundam: Iron-Blooded Orphans 2nd Season,262,TV,25,Oct2016-Apr2017,86585,8.25
22297,Fate/stay night: Unlimited Blade Works,263,TV,12,Oct2014-Dec2014,640919,8.24
38680,Fruits Basket 1st Season,264,TV,25,Apr2019-Sep2019,281174,8.24
265,Hajime no Ippo: Mashiba vs. Kimura,265,OVA,1,Sep2003-Sep2003,71700,8.24
36296,Hinamatsuri,266,TV,12,Apr2018-Jun2018,300414,8.24
6811,InuYasha (TV): Kanketsu-hen,267,TV,26,Oct2009-Mar2010,187362,8.24
38249,Saiki Kusuo no Ψ-nan: Kanketsu-hen,268,Special,1,Dec2018-Dec2018,82521,8.24
35788,Shokugeki no Souma: San no Sara,269,TV,12,Oct2017-Dec2017,537432,8.24
38481,Toaru Kagaku no Railgun T,270,TV,25,Jan2020-,99839,8.24
6864,xxxHOLiC Rou,271,OVA,2,Apr2010-Mar2011,54297,8.24
34537,Yoru wa Mijikashi Arukeyo Otome,272,Movie,1,Apr2017-Apr2017,69832,8.24
13759,Sakura-sou no Pet na Kanojo,273,TV,24,Oct2012-Mar2013,802705,8.23
2236,Toki wo Kakeru Shoujo,274,Movie,1,Jul2006-Jul2006,564112,8.23
40784,Wu Liuqi Zhi Zui Qiang Fa Xing Shi,275,ONA,10,Oct2019-Jan2020,6186,8.23
34636,Ballroom e Youkoso,276,TV,24,Jul2017-Dec2017,192757,8.23
12115,Berserk: Ougon Jidai-hen III - Kourin,277,Movie,1,Feb2013-Feb2013,142116,8.23
372,Cardcaptor Sakura Movie 2: Fuuin Sareta Card,278,Movie,1,Jul2000-Jul2000,91036,8.23
38731,Diamond no Ace: Act II,279,TV,52,Apr2019-Mar2020,44161,8.23
138,Hunter x Hunter: Greed Island,280,OVA,8,Feb2003-Apr2003,102828,8.23
35677,Liz to Aoi Tori,281,Movie,1,Apr2018-Apr2018,67300,8.23
11977,Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari,282,Movie,1,Oct2012-Oct2012,149083,8.23
9890,Major: Message,283,OVA,1,Dec2010-Dec2010,23103,8.23
962,Aria the Natural,284,TV,26,Apr2006-Sep2006,59821,8.22
32867,Bungou Stray Dogs 2nd Season,285,TV,12,Oct2016-Dec2016,385641,8.22
38993,Karakai Jouzu no Takagi-san 2,286,TV,12,Jul2019-Sep2019,142223,8.22
28675,Kyoukai no Kanata Movie 2: I'll Be Here - Mirai-hen,287,Movie,1,Apr2015-Apr2015,164966,8.22
36990,Non Non Biyori Movie: Vacation,288,Movie,1,Aug2018-Aug2018,34706,8.22
853,Ouran Koukou Host Club,289,TV,26,Apr2006-Sep2006,724831,8.22
34822,Tsuki ga Kirei,290,TV,12,Apr2017-Jun2017,301065,8.22
31715,Working!!!: Lord of the Takanashi,291,Special,1,Mar2016-Mar2016,75878,8.22
4155,One Piece Film: Strong World,292,Movie,1,Dec2009-Dec2009,156595,8.21
12859,One Piece Film: Z,293,Movie,1,Dec2012-Dec2012,160203,8.21
19123,One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari,294,Special,1,Aug2013-Aug2013,39198,8.21
1519,Black Lagoon: The Second Barrage,295,TV,12,Oct2006-Dec2006,343678,8.21
31964,Boku no Hero Academia,296,TV,13,Apr2016-Jun2016,1542645,8.21
28223,Death Parade,297,TV,12,Jan2015-Mar2015,1024867,8.21
6746,Durarara!!,298,TV,24,Jan2010-Jun2010,1002259,8.21
37171,Asobi Asobase,299,TV,12,Jul2018-Sep2018,225386,8.2
39792,Eizouken ni wa Te wo Dasu na!,300,TV,12,Jan2020-Mar2020,163274,8.2
121,Fullmetal Alchemist,301,TV,51,Oct2003-Oct2004,1045390,8.2
36371,Ginga Eiyuu Densetsu: Die Neue These - Seiran 3,302,Movie,4,Nov2019-Nov2019,12164,8.2
40815,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 2nd Season,303,TV,12,Apr2020-Jun2020,72808,8.2
1604,Katekyo Hitman Reborn!,304,TV,203,Oct2006-Sep2010,427317,8.2
11771,Kuroko no Basket,305,TV,25,Apr2012-Sep2012,703387,8.2
38234,One Piece Movie 14: Stampede,306,Movie,1,Aug2019-Aug2019,53298,8.2
11597,Nisemonogatari,307,TV,11,Jan2012-Mar2012,512565,8.19
